"sex","totaccpt","tottrust","totpower","prfagres","totnas","totfaith","totcyn_T"
0,60,2,10,6,18,1,58
0,55,5,10,10,23,3,50
0,74,8,10,5,26,5,70
0,69,6,9,11,28,5,66
0,62,6,11,6,18,4,74
0,58,2,11,8,22,2,55
0,59,6,10,13,26,3,62
1,58,7,9,6,17,5,69
1,59,3,13,6,18,3,50
1,61,5,13,9,18,4,53
0,57,3,12,8,13,2,52
0,49,4,13,13,27,1,44
0,53,5,8,4,11,4,50
0,50,0,8,5,17,1,38
0,49,2,7,5,14,3,48
1,66,7,14,11,21,5,60
0,70,7,11,10,27,4,66
0,68,8,8,13,18,5,55
0,50,0,6,8,23,0,50
1,61,2,8,10,20,2,45
1,61,7,12,11,21,5,56
1,58,7,7,11,24,4,64
0,44,7,8,10,24,3,52
0,53,7,10,9,22,3,55
0,58,7,9,9,23,4,52
0,61,2,12,10,16,4,48
0,59,7,9,6,19,4,58
0,58,7,13,8,24,2,52
0,37,1,11,9,11,1,48
0,65,4,10,12,37,4,78
0,41,0,9,3,20,0,46
0,58,5,10,6,14,4,74
1,68,6,12,11,28,3,50
0,60,7,10,10,19,3,48
0,77,7,13,12,47,5,46
0,68,6,11,6,23,3,52
0,69,7,8,13,40,4,74
0,56,2,10,8,19,3,62
1,73,8,9,6,12,4,69
0,72,8,13,7,11,3,62
0,57,7,13,6,19,4,58
1,52,1,11,6,19,1,56
0,52,3,12,10,16,3,55
0,53,2,8,7,11,1,58
0,58,6,9,8,26,4,58
1,66,7,11,8,26,5,60
1,61,1,9,11,13,3,50
0,50,4,12,8,25,2,46
0,49,5,9,8,20,3,62
0,73,8,11,8,14,4,55
0,41,1,11,4,13,1,44
1,62,6,10,9,25,3,69
0,65,7,10,9,18,4,66
0,65,7,9,8,39,2,66
1,60,8,12,11,20,4,64
1,66,8,13,10,17,3,56
0,57,2,14,13,20,1,46
0,52,3,9,6,14,3,50
0,62,7,9,9,11,4,52
0,60,3,9,10,19,2,55
0,61,8,10,11,15,4,58
0,69,7,10,10,23,3,52
0,57,8,12,8,13,4,62
0,68,6,10,10,23,3,48
0,49,2,9,5,12,2,38
0,48,3,8,10,13,1,50
0,34,1,11,6,15,3,48
0,52,7,8,8,20,3,52
0,73,8,10,7,23,2,74
1,63,5,13,7,18,2,56
1,59,3,11,9,19,3,47
0,59,8,9,11,22,5,62
0,59,7,11,9,23,3,74
0,62,7,9,7,24,3,38
0,57,3,8,6,16,3,52
0,74,8,10,12,30,3,74
0,55,0,8,6,30,1,52
1,70,4,10,13,31,3,64
0,54,8,8,9,26,5,52
1,70,3,8,3,24,3,60
0,53,4,13,3,23,3,50
0,69,5,13,4,20,3,58
1,58,4,8,5,20,3,47
0,69,2,14,10,38,3,66
0,49,2,11,11,23,2,44
0,57,6,11,7,27,3,52
1,59,6,11,4,22,4,56
0,65,5,12,8,20,4,52
0,68,8,9,7,35,5,70
0,61,6,14,11,12,4,70
1,60,7,13,11,23,3,56
1,63,7,8,8,16,3,56
0,67,2,10,10,21,2,58
0,48,1,8,12,13,1,46
0,62,5,8,6,20,3,46
0,49,0,10,7,10,0,46
0,58,3,9,5,14,2,46
1,54,1,6,6,18,2,48
1,60,7,8,6,28,4,50
0,61,2,12,4,23,1,46
